"Food","Origin Country","Glucose","Carbohidrate","Vitamins Contained","Price Estimate"
"Yogurt - Banana, 175 Gr","Ukraine","45","397","High","3051"
"Clams - Bay","Saudi Arabia","20","179","High","3496"
"Pineapple - Canned, Rings","Brazil","32","316","Medium","2537"
"Pecan Raisin - Tarts","Sweden","57","347","Medium","2842"
"Coffee - Flavoured","Thailand","37","363","Medium","3452"
"Tea - Vanilla Chai","Indonesia","60","201","Low","3170"
"Gherkin","Bosnia and Herzegovina","90","287","Low","3203"
"Wine - Rubyport","China","46","319","Medium","2619"
"Napkin - Beverge, White 2 - Ply","Argentina","2","118","High","3424"
"Tabasco Sauce, 2 Oz","Armenia","57","317","Medium","2824"
"Tart - Raisin And Pecan","Poland","5","108","Medium","3524"
"Beer - Sleemans Cream Ale","Cameroon","-6","172","High","3646"
"Wine - Gewurztraminer Pierre","Russia","30","145","High","3785"
"Soup - Verve - Chipotle Chicken","Indonesia","62","232","Low","3250"
"Tea - Lemon Green Tea","Indonesia","44","322","Medium","3159"
"Beer - True North Lager","Pakistan","73","209","Low","3043"
"Glycerine","Honduras","70","354","Low","3119"
"Vodka - Smirnoff","Indonesia","67","213","Low","3099"
"Cheese - Manchego, Spanish","Thailand","43","384","Medium","3161"
"Knife Plastic - White","Indonesia","17","118","High","3047"
"Liquid Aminios Acid - Braggs","China","67","288","Low","3197"
"Wine - Remy Pannier Rose","Latvia","59","339","Medium","3218"
"Garlic Powder","China","50","305","Medium","3430"
"Squash - Pattypan, Yellow","Colombia","17","115","High","3659"
"Fib N9 - Prague Powder","China","78","274","Low","3334"
"Bread - Italian Roll With Herbs","China","6","148","High","3224"
"Squash - Sunburst","United States","19","164","High","3420"
"Munchies Honey Sweet Trail Mix","Ukraine","38","350","Medium","3191"
"Bowl 12 Oz - Showcase 92012","Thailand","45","387","Medium","3259"
"Pepper - Chillies, Crushed","United States","84","242","Low","3075"
"Cocoa Butter","United States","71","228","Medium","2875"
"Apples - Sliced / Wedge","China","0","129","High","3047"
"Rice Pilaf, Dry,package","China","44","246","Medium","2731"
"Oven Mitts 17 Inch","Brazil","7","114","High","3638"
"Wine - Remy Pannier Rose","Brazil","21","198","Medium","3266"
"Cheese - Goat","Kazakhstan","90","262","High","3144"
"Ostrich - Fan Fillet","China","13","157","High","3032"
"Shopper Bag - S - 4","Japan","43","338","Medium","2889"
"Wine - Alicanca Vinho Verde","Portugal","72","289","Low","3435"
"Cheese - St. Paulin","Venezuela","33","301","Low","3306"
"Water - Green Tea Refresher","Brazil","57","385","High","3159"
"Wine - Taylors Reserve","China","60","348","Medium","3260"
"Country Roll","Ukraine","75","223","Low","3309"
"Ecolab - Balanced Fusion","Indonesia","85","274","Low","3495"
"Lamb - Ground","Russia","25","102","High","3587"
"Broom - Angled","Greece","61","287","Low","3285"
"Bread - Italian Sesame Poly","San Marino","35","324","High","3380"
"Compound - Passion Fruit","Indonesia","59","392","Medium","3036"
"Beans - Kidney, Canned","Argentina","34","338","High","3131"
"Cranberries - Fresh","France","63","276","Low","3143"
"Wine - Sherry Dry Sack, William","Philippines","70","214","Low","3089"
"Ecolab - Hobart Upr Prewash Arm","Nepal","56","431","Medium","3490"
"Halibut - Whole, Fresh","Kuwait","52","369","High","3414"
"Rice - Basmati","Russia","90","282","Low","3100"
"Veal - Shank, Pieces","China","40","344","Medium","3474"
"Ice Cream Bar - Oreo Cone","China","29","160","High","3123"
"Bagel - 12 Grain Preslice","Libya","4","186","High","3383"
"Bok Choy - Baby","China","79","216","Low","3630"
"Wine - Chianti Classica Docg","Canada","82","219","Low","3192"
"Beef Dry Aged Tenderloin Aaa","Georgia","66","194","Low","3336"
"Soup - Campbells Beef Strogonoff","Canada","53","302","High","2775"
"Extract - Vanilla,artificial","China","54","206","High","3430"
"Wine - Lamancha Do Crianza","China","27","135","High","3127"
"Pepper - Black, Crushed","Guatemala","14","159","High","3275"
"Yoplait - Strawbrasp Peac","Indonesia","60","364","Medium","3135"
"Pail - 15l White, With Handle","Latvia","70","235","Medium","3496"
"Sesame Seed Black","Philippines","82","251","Low","3595"
"Ketchup - Tomato","Kenya","55","388","Medium","2874"
"Beef - Diced","Poland","54","315","Medium","2599"
"Roe - Flying Fish","Honduras","60","268","Medium","2654"
"Wine - Gato Negro Cabernet","Pakistan","0","108","Low","3792"
"Oil - Coconut","Indonesia","11","130","Medium","3779"
"Veal - Heart","China","40","342","Medium","2552"
"Nescafe - Frothy French Vanilla","China","21","163","High","3111"
"Ecolab - Hand Soap Form Antibac","Indonesia","49","350","Medium","3470"
"Wine - Cava Aria Estate Brut","Bangladesh","19","159","High","3097"
"Swordfish Loin Portions","Brazil","35","310","Medium","3301"
"Cheese - Le Cru Du Clocher","Philippines","60","381","Medium","3208"
"Scallops - In Shell","Panama","27","185","High","3735"
"Apple - Fuji","Brazil","0","187","Low","3789"
"Bread - Focaccia Quarter","China","77","276","Low","3361"
"Tomatoes - Hot House","Philippines","79","203","Low","3069"
"Sprouts - Onion","Argentina","79","243","Low","3297"
"Apple - Delicious, Red","Indonesia","35","380","High","2966"
"Flower - Dish Garden","Morocco","66","248","High","3193"
"Barramundi","Armenia","48","326","Medium","2626"
"Alize Red Passion","United States","51","321","Medium","3331"
"Salmon - Atlantic, Skin On","Brazil","59","380","Low","2801"
"Apron","China","40","315","Medium","2885"
"Ice Cream - Vanilla","Indonesia","87","276","Low","3108"
"Bar Bran Honey Nut","Indonesia","52","314","Medium","3403"
"Pastry - Butterscotch Baked","Cuba","81","234","Medium","3311"
"Carrots - Mini, Stem On","Lithuania","6","182","High","3494"
"Syrup - Golden, Lyles","Brazil","47","385","Medium","3133"
"Tomatoes - Cherry, Yellow","China","79","287","Low","3184"
"Lidsoupcont Rp12dn","Indonesia","33","376","Medium","3004"
"Cheese - Comte","Greenland","76","267","High","3156"
"Sour Puss Sour Apple","United States","43","394","Low","3086"
"Gingerale - Diet - Schweppes","China","53","386","Medium","3013"
"Oysters - Smoked","China","20","129","High","3956"
"Icecream Bar - Del Monte","Czech Republic","76","207","Low","3294"
"Sprouts - Bean","China","42","346","Medium","3360"
"Chips - Potato Jalapeno","Indonesia","21","191","High","3360"
"Sage Ground Wiberg","Malawi","33","303","Medium","3245"
"Langers - Mango Nectar","China","7","139","High","3145"
"Sping Loaded Cup Dispenser","Brazil","17","199","High","3900"
"Tomatoes - Vine Ripe, Yellow","Argentina","34","381","Medium","2627"
"Sobe - Cranberry Grapefruit","China","36","300","Medium","3469"
"Water - Spring 1.5lit","Argentina","50","342","Medium","3178"
"Wine - Red, Mosaic Zweigelt","Philippines","44","358","Medium","2569"
"Wine - Black Tower Qr","Philippines","56","298","High","2788"
"Snails - Large Canned","Czech Republic","85","203","Low","3003"
"Shrimp - Baby, Cold Water","Philippines","5","97","High","3013"
"Crab - Blue, Frozen","Pakistan","12","146","High","3267"
"Sausage - Liver","United States","7","176","High","3491"
"Puree - Kiwi","Mexico","17","108","High","3853"
"Sloe Gin - Mcguinness","Russia","30","131","High","3989"
"Wine - Mondavi Coastal Private","Colombia","79","280","Low","3315"
"Lobster - Base","Russia","84","272","Medium","3463"
"Apricots - Dried","Norway","10","141","High","3799"
"Strawberries","Philippines","25","156","High","3263"
"Steel Wool","Sweden","53","260","Low","3224"
"Leeks - Large","Puerto Rico","11","143","High","3696"
"Coconut Milk - Unsweetened","China","41","333","Medium","3356"
"Chocolate - Semi Sweet, Calets","Indonesia","32","371","Medium","2848"
"Cheese - Manchego, Spanish","Democratic Republic of the Congo","8","169","High","3418"
"Cake Slab","United States","55","378","Medium","2847"
"French Kiss Vanilla","Russia","21","136","High","3409"
"Pepper - Julienne, Frozen","Nigeria","89","234","High","3226"
"Soup - Cream Of Broccoli","Bahamas","71","243","High","3446"
"Soup - Campbells Bean Medley","Philippines","40","295","Low","3013"
"Sausage - Blood Pudding","United States","36","121","High","3164"
"Lettuce - Lambs Mash","Portugal","39","324","Medium","3258"
"Raspberries - Frozen","Sweden","-16","147","High","3017"
"Wine - Pinot Noir Pond Haddock","Brazil","57","300","Medium","3291"
"Pate - Peppercorn","Russia","52","357","High","3400"
"Ice Cream Bar - Oreo Sandwich","Russia","64","201","Low","3316"
"Broccoli - Fresh","Portugal","4","195","High","3151"
"Tart - Lemon","Bolivia","20","108","High","3374"
"Scallop - St. Jaques","Mexico","68","277","Low","3469"
"Almonds Ground Blanched","China","46","362","Low","3047"
"Coffee - French Vanilla Frothy","Portugal","28","177","Medium","3673"
"Lobster - Baby, Boiled","Indonesia","22","183","High","3518"
"Vodka - Smirnoff","Micronesia","26","108","High","3938"
"Wine - Red, Mosaic Zweigelt","Slovenia","72","259","Low","3343"
"Wine - Cahors Ac 2000, Clos","Indonesia","86","227","Low","3042"
"Wine - Beaujolais Villages","China","42","380","Medium","3299"
"Soup - French Onion, Dry","China","56","352","Medium","3095"
"Beef - Ground Medium","Portugal","36","348","Medium","2744"
"Butcher Twine 4r","Indonesia","-12","163","High","3535"
"Lemonade - Pineapple Passion","Russia","86","227","Low","3479"
"Chef Hat 25cm","Albania","72","265","Low","3367"
"Octopus - Baby, Cleaned","Indonesia","88","270","Low","3032"
"Shrimp - Baby, Warm Water","Czech Republic","27","142","High","3079"
"Puree - Passion Fruit","Indonesia","31","376","Low","3309"
"Wine - White Cab Sauv.on","Spain","31","389","High","3304"
"Soup - Campbells Mac N Cheese","Indonesia","2","135","Low","3221"
"Wine - Zinfandel California 2002","Japan","81","206","Low","3106"
"Honey - Liquid","Indonesia","14","101","High","3588"
"Wine - Cabernet Sauvignon","Yemen","64","205","Medium","3261"
"Cheese - Cream Cheese","North Korea","37","355","Medium","3380"
"Bacardi Limon","Germany","32","314","Medium","3095"
"Tart - Raisin And Pecan","Russia","15","332","Medium","2746"
"Pasta - Fusili Tri - Coloured","Tajikistan","71","276","Low","3492"
"Garbage Bag - Clear","Colombia","49","364","Medium","3222"
"Tea - Jasmin Green","Cameroon","270","143","Medium","5293"
"Pork - Side Ribs","China","40","169","High","5076"
"Cheese - Taleggio D.o.p.","China","720","239","Low","5021"
"Wine - Merlot Vina Carmen","China","740","322","Medium","5066"
"Truffle - Whole Black Peeled","China","340","304","Medium","4595"
"Veal - Ground","Russia","-60","169","High","5231"
"Pork - Back, Short Cut, Boneless","Syria","360","476","Medium","5223"
"Ice Cream - Chocolate","Poland","110","116","High","5523"
"Bread - Kimel Stick Poly","Tanzania","480","339","Medium","5438"
"Chicken - Soup Base","Philippines","60","172","High","5866"
"Mushroom - Enoki, Fresh","Sweden","690","282","Low","5199"
"Croissants Thaw And Serve","Armenia","750","233","Low","5372"
"Fudge - Chocolate Fudge","China","520","326","Medium","5292"
"Rum - White, Gg White","Albania","40","195","High","5552"
"Wine - Soave Folonari","China","90","120","Medium","5846"
"Oranges - Navel, 72","China","520","360","High","5274"
"Oil - Shortening - All - Purpose","Indonesia","410","371","Medium","4901"
"Veal - Nuckle","Uzbekistan","50","114","High","5752"
"Flour - Whole Wheat","Madagascar","30","171","High","5119"
"Pasta - Tortellini, Fresh","Indonesia","1000","206","Medium","5289"
"Olives - Nicoise","Philippines","350","316","Medium","5138"
"Vegetable - Base","Thailand","70","136","Medium","5783"
"Chocolate - Feathers","Brazil","880","274","Low","5133"
"Extract - Lemon","Portugal","490","307","Medium","4897"
"Milk - Buttermilk","Portugal","540","365","High","5063"
"Vermacelli - Sprinkles, Assorted","Russia","360","334","Medium","4509"
"Bread - English Muffin","China","700","291","Low","5200"
"Tomatoes - Orange","United Kingdom","250","64","High","5065"
"Squid Ink","China","680","279","Low","5773"
"Milk - Homo","China","140","382","Medium","4605"
"Flour - Buckwheat, Dark","Russia","120","25","High","5417"
"Lobster - Tail 6 Oz","Indonesia","190","198","Low","5919"
"Ice Cream - Life Savers","China","210","181","High","5451"
"Absolut Citron","Indonesia","180","157","High","5541"
"Anchovy Paste - 56 G Tube","Croatia","590","395","High","4991"
"Pepper - Red Thai","Japan","730","202","Low","4539"
"Fondant - Icing","Portugal","70","131","High","5828"
"Nut - Almond, Blanched, Whole","China","190","121","Medium","5519"
"Onions - Pearl","Indonesia","190","168","High","5560"
"Wine - Pinot Grigio Collavini","China","480","319","Medium","4789"
"Dill Weed - Dry","Philippines","320","359","High","4872"
"Tarragon - Primerba, Paste","Croatia","830","235","Low","5066"
"Flower - Commercial Spider","Madagascar","470","389","Medium","5204"
"Egg - Salad Premix","China","880","255","Low","5352"
"Catfish - Fillets","Indonesia","400","369","Medium","5238"
"Lumpfish Black","South Africa","900","269","Low","5215"
"Wine - White, Mosel Gold","Pakistan","120","145","High","5088"
"Pork - Chop, Frenched","Brazil","190","202","High","5644"
"Oil - Truffle, White","Philippines","460","302","Medium","5129"
"Beer - Blue Light","China","530","347","Low","4628"
"Yukon Jack","China","0","120","High","5984"
"Cup - 4oz Translucent","Colombia","570","339","Medium","5327"
"Rice - Wild","Poland","440","375","Medium","4807"
"Parsley - Dried","Russia","350","400","High","5050"
"Tomatoes - Cherry, Yellow","Peru","630","284","Low","5004"
"Plasticknivesblack","Philippines","840","287","High","5300"
"Beef Tenderloin Aaa","Russia","740","281","Low","5304"
"Wine - Prosecco Valdobiaddene","Russia","870","254","Low","5380"
"Marjoram - Dried, Rubbed","New Zealand","440","307","Medium","4807"
"Cocoa Powder - Dutched","Indonesia","870","296","Low","4900"
"Shopper Bag - S - 4","China","460","367","Medium","5025"
"Radish - Pickled","Portugal","300","313","Medium","5467"
"Strawberries - California","Japan","30","114","High","5661"
"Bagel - Plain","Anguilla","300","187","High","5297"
"Jolt Cola - Red Eye","China","490","400","Medium","5003"
"Grapefruit - Pink","United States","720","305","High","5366"
"Lettuce Romaine Chopped","Canada","140","182","High","5882"
"Lettuce Romaine Chopped","Indonesia","580","375","Medium","5048"
"Octopus","China","150","115","Medium","5616"
"Arrowroot","Brazil","570","373","Medium","5488"
"Mountain Dew","Ireland","-100","118","High","5840"
"Venison - Denver Leg Boneless","Philippines","790","278","Low","5325"
"Evaporated Milk - Skim","Mexico","60","184","High","5851"
"Pepper - Chili Powder","Indonesia","420","309","Medium","4677"
"Cheese - Cambozola","Ukraine","20","190","High","5461"
"Chef Hat 20cm","Iran","440","303","Medium","5303"
"Container - Clear 16 Oz","Indonesia","440","384","Medium","4987"
"Nut - Hazelnut, Ground, Natural","United States","1080","274","Low","5445"
"Salmon - Sockeye Raw","China","720","225","Low","5109"
"Wine - Redchard Merritt","Indonesia","210","124","High","5825"
"Cakes Assorted","Afghanistan","580","314","Medium","4909"
"Beef - Outside, Round","Colombia","540","316","Medium","4962"
"Oil - Sunflower","France","900","233","Medium","5440"
"Oneshot Automatic Soap System","China","340","317","Medium","5361"
"Smirnoff Green Apple Twist","Russia","260","90","High","6377"
"Pasta - Cappellini, Dry","Ukraine","490","388","Medium","5464"
"Cheese - Grie Des Champ","France","520","399","Medium","4513"
"Liqueur - Melon","China","640","229","Low","5369"
"Pork - Chop, Frenched","Indonesia","690","272","Low","5401"
"Pasta - Fusili Tri - Coloured","China","440","437","Medium","5454"
"Eel - Smoked","Honduras","410","329","Low","4663"
"Flour - Fast / Rapid","China","170","176","High","5018"
"Sauce - Gravy, Au Jus, Mix","Ecuador","230","196","High","5712"
"Beef - Chuck, Boneless","Indonesia","450","340","Medium","4832"
"Grapefruit - White","China","720","271","Low","5165"
"Cheese - Mozzarella","Zambia","480","356","Medium","4840"
"Cheese - Brie Roitelet","Philippines","30","116","High","5993"
"Bonito Flakes - Toku Katsuo","Swaziland","430","291","Medium","5098"
"Cheese - Le Cru Du Clocher","Russia","60","166","High","5391"
"Wine - Two Oceans Cabernet","Macedonia","370","335","Medium","4513"
"Sprouts - Corn","Brazil","250","117","High","5407"
"Beef Ground Medium","China","30","170","High","5092"
"Puree - Guava","China","600","323","Medium","4605"
"Tomatoes Tear Drop","Russia","100","196","High","5710"
"Horseradish - Prepared","China","70","192","High","5026"
"Graham Cracker Mix","Sweden","490","398","Medium","5102"
"Lemonade - Pineapple Passion","Indonesia","440","383","Medium","5475"
"Wine - Red, Harrow Estates, Cab","China","190","117","High","5344"
"Butter - Unsalted","Czech Republic","60","139","High","4824"
"Cheese - Le Cru Du Clocher","Panama","220","160","Medium","5785"
"Daves Island Stinger","Russia","40","164","High","5254"
"Pails With Lids","Portugal","500","343","Medium","5459"
"Wine - Remy Pannier Rose","Armenia","240","199","High","5764"
"Savory","China","290","166","High","5919"
"Mushroom - Enoki, Dry","China","850","262","Low","5667"
"Bread - White, Sliced","Mongolia","610","294","Medium","5377"
"Cake - French Pear Tart","Croatia","130","136","Medium","5522"
"Chocolate - Milk, Callets","Philippines","240","110","High","5792"
"Eel - Smoked","Germany","410","392","Medium","5490"
"Sugar - Brown","Indonesia","80","344","Medium","5211"
"Beef - Baby, Liver","Venezuela","570","370","Medium","4812"
"Pepper - White, Whole","Argentina","810","290","Low","5191"
"Filter - Coffee","Dominican Republic","610","272","Low","5349"
"Asparagus - Mexican","Canada","450","385","Medium","4944"
"Aspic - Amber","China","850","225","Low","5470"
"Juice - Apple, 500 Ml","Indonesia","690","217","Low","5189"
"Bread - Ciabatta Buns","Dominican Republic","770","251","Low","5371"
"Juice - Lagoon Mango","Russia","15","52","Medium","3795"
"Evaporated Milk - Skim","Indonesia","85","277","Low","3455"
"Veal - Eye Of Round","Mauritius","0","129","High","3999"
"Bag - Clear 7 Lb","Russia","75","288","Low","3442"
"Squid - U 5","China","78","217","Low","3407"
"Gingerale - Schweppes, 355 Ml","Palestinian Territory","36","329","Medium","3133"
"Jack Daniels","China","-11","127","High","3796"
"Sobe - Lizard Fuel","Indonesia","42","347","Medium","2786"
"Table Cloth 91x91 Colour","Cuba","-12","182","High","3397"
"Bag - Clear 7 Lb","China","65","215","High","3341"
"Water - Evian 355 Ml","United States","79","255","Low","3090"
"Rabbit - Saddles","Russia","30","185","High","3529"
"Cake - Bande Of Fruit","Mongolia","78","253","Low","3480"
"Water - Mineral, Carbonated","United States","66","334","Medium","3190"
"Coffee - French Vanilla Frothy","Sweden","89","230","Low","3300"
"Cherries - Frozen","Sweden","6","130","High","3474"
"Extract - Raspberry","Bosnia and Herzegovina","89","200","Low","3020"
"Yogurt - Plain","France","41","354","Medium","2613"
"Jagermeister","China","13","163","High","3849"
"Wine - Cousino Macul Antiguas","Russia","57","388","Medium","3167"
"Yogurt - Banana, 175 Gr","France","16","229","High","3583"
"Filter - Coffee","Honduras","28","294","Medium","3400"
"Wine - Ej Gallo Sonoma","Morocco","35","342","Medium","3282"
"Tea - Black Currant","Samoa","83","268","Low","3396"
"Garbage Bags - Black","Bosnia and Herzegovina","32","303","Medium","3139"
"Shortbread - Cookie Crumbs","Colombia","76","269","Low","3437"
"Hummus - Spread","Laos","23","159","High","3976"
"Greens Mustard","Brazil","7","111","Low","3303"
"Pork - Ham, Virginia","Philippines","90","231","Low","3548"
"Gingerale - Diet - Schweppes","Russia","34","332","Medium","3229"
"Cheese - St. Andre","Indonesia","28","110","High","3886"
"Rum - Coconut, Malibu","Czech Republic","58","387","Medium","3222"
"Vinegar - Rice","Poland","22","169","High","3721"
"Swordfish Loin Portions","Portugal","67","226","Low","3086"
"Quail - Eggs, Fresh","Thailand","49","324","Medium","2963"
"Lady Fingers","Poland","39","350","Medium","3099"
"Soup - French Onion","Pakistan","19","189","High","3636"
"Sobe - Cranberry Grapefruit","Paraguay","90","217","Low","3237"
"Pepper - Roasted Red","Uzbekistan","63","299","Low","3401"
"Cake - Miini Cheesecake Cherry","Tunisia","60","370","Medium","3403"
"Coffee - Dark Roast","Sweden","59","341","Medium","2859"
"Wine - Pinot Noir Pond Haddock","China","14","111","High","3265"
"Wine - Muscadet Sur Lie","Ethiopia","12","177","High","3088"
"Bread - Pain Au Liat X12","Portugal","32","398","Low","2507"
"Wine - Prosecco Valdobienne","Indonesia","35","386","Low","2557"
"Mushroom - Chantrelle, Fresh","Vietnam","-9","173","Low","3103"
"Liquid Aminios Acid - Braggs","Madagascar","85","216","Low","3153"
"Crawfish","United States","73","282","Low","3425"
"Flour Pastry Super Fine","Indonesia","64","387","Medium","2994"
"Shrimp - Prawn","Saudi Arabia","68","354","Low","3124"
"Water - Aquafina Vitamin","Cyprus","79","247","Low","3009"
"Syrup - Monin, Amaretta","Dominican Republic","53","381","Medium","3326"
"Foam Cup 6 Oz","China","15","152","Medium","3705"
"Napkin - Beverage 1 Ply","China","67","276","Low","3205"
"Tomatoes - Vine Ripe, Red","Poland","74","253","Low","3104"
"Compound - Rum","China","73","220","Medium","3354"
"Bread - White, Unsliced","Brazil","78","247","Low","3076"
"Sesame Seed","Japan","77","297","Low","3167"
"Juice - Cranberry, 341 Ml","Portugal","38","321","High","2944"
"Oats Large Flake","Brazil","35","301","Medium","2684"
"Beef - Roasted, Cooked","Greece","43","300","High","3060"
"Bread - Corn Muffaleta Onion","Indonesia","68","246","Medium","3190"
"Octopus","Indonesia","5","185","High","3978"
"Ostrich - Prime Cut","Canada","27","115","High","3661"
"Pie Filling - Pumpkin","China","78","223","Low","3096"
"Pectin","Philippines","17","135","Low","3207"
"Rum - Mount Gay Eclipes","Malaysia","1","179","High","3272"
"Daikon Radish","China","59","322","Medium","2607"
"Flower - Commercial Spider","Russia","43","377","Medium","2606"
"Versatainer Nc - 8288","Indonesia","45","348","Medium","3431"
"Galliano","China","0","135","High","3802"
"Croissants Thaw And Serve","Indonesia","49","356","Medium","2576"
"Beer - Corona","Japan","18","184","High","3484"
"Olives - Nicoise","Chad","60","256","Medium","3225"
"Pike - Frozen Fillet","Russia","30","349","Low","3341"
"Vacuum Bags 12x16","China","81","205","High","3158"
"Veal - Provimi Inside","Syria","90","264","Low","3136"
"Buffalo - Striploin","Tanzania","51","317","Medium","2580"
"Lettuce - Romaine, Heart","Portugal","57","452","Low","3189"
"Cafe Royale","Sweden","28","112","Medium","3277"
"Pasta - Penne, Rigate, Dry","Madagascar","8","192","High","3441"
"Cauliflower","Philippines","40","223","Low","3032"
"Wine - Touraine Azay - Le - Rideau","China","42","383","High","3071"
"Cucumber - Pickling Ontario","Russia","64","238","Low","3287"
"Beer - Upper Canada Lager","Indonesia","80","232","Low","3372"
"Veal - Shank, Pieces","China","27","116","Medium","3129"
"Food Colouring - Orange","France","32","342","Medium","3008"
"Salt - Table","Philippines","27","182","High","3351"
"Wine - Niagara Peninsula Vqa","Indonesia","-9","138","High","3353"
"Oil - Margarine","Greece","19","160","High","3285"
"Scrubbie - Scotchbrite Hand Pad","China","26","168","High","3027"
"Cookie Double Choco","China","-21","116","High","3922"
"Mushroom - Trumpet, Dry","China","41","244","Medium","2923"
"Energy - Boo - Koo","Iran","79","294","Low","3445"
"Beef - Texas Style Burger","China","39","351","Medium","3327"
"Pork - Belly Fresh","United States","3","138","High","3026"
"Oregano - Fresh","China","46","365","Medium","2630"
"Wine - Red, Gallo, Merlot","Poland","6","146","High","3708"
"Sesame Seed Black","Japan","63","265","Low","3074"
"Lamb - Whole Head Off,nz","Philippines","59","315","Medium","2649"
"Dried Figs","Greece","-18","119","Low","3943"
"Tequila - Sauza Silver","Spain","82","300","Low","3476"
"Arctic Char - Fresh, Whole","Poland","79","260","Medium","3311"
"Pasta - Orzo, Dry","Panama","26","160","High","3414"
"Beets - Candy Cane, Organic","Russia","41","363","Medium","3234"
"Cheese - Mozzarella","Poland","70","229","Low","3093"
"Jolt Cola - Electric Blue","China","20","109","High","3058"
"Pecan Raisin - Tarts","Philippines","44","342","Medium","3330"
"Kolrabi","Portugal","4","153","High","3855"
"Bag - Clear 7 Lb","Russia","48","371","Medium","2608"
"Butter Ripple - Phillips","Ukraine","61","228","High","3163"
"Mustard - Pommery","Poland","24","305","Medium","2669"
"Veal Inside - Provimi","China","14","126","High","3237"
"Wine - Vidal Icewine Magnotta","Israel","17","159","High","3653"
"Pepper - Jalapeno","China","11","148","High","3346"
"Kolrabi","Zambia","76","265","Low","3400"
"Champagne - Brights, Dry","Sweden","30","330","Medium","3221"
"Potatoes - Instant, Mashed","Russia","26","109","High","3361"
"Chocolate - Milk, Callets","Dominican Republic","58","307","Medium","2950"
"Mints - Striped Red","Indonesia","26","168","High","3299"
"Venison - Racks Frenched","Indonesia","14","116","High","3865"
"Soup - Campbells, Beef Barley","China","20","187","High","3373"
"Chocolate Bar - Coffee Crisp","China","59","380","Medium","2676"
"Energy Drink","Russia","17","211","High","3905"
"Vol Au Vents","Poland","14","156","High","3755"
"Cardamon Ground","Philippines","8","170","Medium","3033"
"Apple - Northern Spy","Mali","10","110","High","3225"
"Sherbet - Raspberry","Chile","39","393","Medium","3491"
"Eggwhite Frozen","Mauritius","6","168","High","3369"
"Soup - Chicken And Wild Rice","Mexico","60","292","Low","3296"
"Scotch - Queen Anne","Poland","44","318","Medium","2721"
"Juice - Grape, White","China","24","171","High","3137"
"Vaccum Bag 10x13","Nigeria","38","398","Medium","2637"
"Cocoa Powder - Natural","Thailand","44","323","Medium","3315"
"Caviar - Salmon","Philippines","76","240","Low","3490"
"Wine - Touraine Azay - Le - Rideau","Swaziland","31","356","Medium","3049"
"Garam Masala Powder","France","56","397","Medium","3410"
"Steampan - Half Size Shallow","Dominican Republic","11","108","High","3343"
"Nestea - Ice Tea, Diet","Japan","66","258","Low","3184"
"Hot Choc Vending","Mexico","89","297","Low","3111"
"Table Cloth 54x72 Colour","Saudi Arabia","15","105","Medium","3734"
"Iced Tea - Lemon, 340ml","United States","14","174","High","3362"
"Stock - Veal, Brown","China","53","348","Medium","2916"
"Cheese - Parmesan Cubes","Portugal","73","239","Low","3164"
"Cheese - Comte","Thailand","5","183","High","3971"
"Island Oasis - Lemonade","China","55","369","Medium","3223"
"Napkin - Beverage 1 Ply","Portugal","60","353","Medium","3495"
"Yoplait - Strawbrasp Peac","Russia","54","341","Low","2751"
"Pepper - Black, Crushed","Thailand","2","166","High","3511"
"Cucumber - English","United States","32","308","High","3009"
"Sword Pick Asst","Luxembourg","16","100","High","3568"
"Ecolab - Solid Fusion","Canada","53","334","Medium","2942"
"Butter Sweet","China","47","391","Medium","3380"
"Cod - Salted, Boneless","China","18","174","High","3954"
"Shortbread - Cookie Crumbs","Indonesia","67","274","Low","3142"
"Cookies Cereal Nut","Mexico","59","326","Low","2912"
"Pepper - Paprika, Spanish","Paraguay","24","119","High","3243"
"Salsify, Organic","China","89","263","Medium","3092"
"Tea - Vanilla Chai","China","62","248","Low","3401"
"Tea - Lemon Green Tea","Portugal","24","177","High","3505"
"Wine - Cabernet Sauvignon","Pakistan","85","292","Medium","3313"
"Muffin - Mix - Mango Sour Cherry","Brazil","43","344","Medium","3852"
"Beans - Butter Lrg Lima","Brazil","46","374","Low","2632"
"Pears - Bartlett","Philippines","40","339","Medium","2858"
"Dc - Frozen Momji","Poland","55","325","Medium","2812"
"Pasta - Rotini, Colour, Dry","Tajikistan","7","183","High","3678"
"Napkin White","Mexico","29","143","Low","3794"
"Veal Inside - Provimi","Indonesia","88","280","Low","3398"
"Chinese Lemon Pork","Colombia","34","347","High","2835"
"Tea - Darjeeling, Azzura","China","86","279","Medium","3171"
"Crab - Meat Combo","Sweden","86","283","Low","3240"
"Asparagus - Green, Fresh","Peru","20","191","High","3238"
"Tea - Lemon Green Tea","Chile","76","277","Low","3170"
"Juice - Apple Cider","China","68","237","Low","3421"
"Lemonade - Black Cherry, 591 Ml","China","77","264","Low","3495"
"Wine - Red, Cooking","Portugal","54","320","Medium","3129"
"Vinegar - Champagne","Thailand","19","177","High","3727"
"Energy Drink","Indonesia","55","369","Medium","2868"
"Juice - Clam, 46 Oz","China","72","220","Low","3196"
"Sage - Fresh","Brazil","41","363","Low","3292"
"Pork - Ham Hocks - Smoked","Poland","26","173","High","3684"
"The Pop Shoppe - Black Cherry","Indonesia","43","366","Medium","2786"
